publication_date,edition,access,section,item_title,creator,organization,canonical_url,item_type,featured,special_recommendation,reused,reuse_reason,verification_date,notes
2026-09-18,Morning Opportunities,free,free_opportunities,Dzanc Prize for Fiction,,Dzanc Books,https://www.dzancbooks.org/contests,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Philip Levine Prize for Poetry,,Philip Levine Prize for Poetry,https://levineprize.submittable.com/submit,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Zoetrope: All-Story Short Fiction Competition,,Zoetrope: All-Story,https://www.all-story.com/zoetrope-all-story-short-fiction-competition/,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Creative Writing Ink Short Story Competition 2026,,Creative Writing Ink,https://creativewritingink.co.uk/competitions/creative-writing-ink-short-story-competition-2026/,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Gold Line Press Poetry Chapbook Competition,,Gold Line Press,https://goldlinepress.submittable.com/submit/365292/2026-gold-line-press-poetry-chapbook-competition,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_featured,EVENT 2026 Non-Fiction Contest,,EVENT Magazine,https://www.eventmagazine.ca/contest-nf/,featured opportunity,True,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_featured,Featured: Djerassi Resident Artists Program - 2027,,Djerassi Resident Artists Program,https://djerassi.org/apply/2027residency/,featured opportunity,True,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_featured,Featured: Sesame Workshop Writers’ Room,,Sesame Workshop,https://sesameworkshop.org/our-work/fellowships/writers-room/,featured opportunity,True,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Developmental Editor - Art Canada Institute,,Art Canada Institute,https://artcanada.com/about/jobs,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Proposal Writer - The Adecco Group Canada,,The Adecco Group,https://careers.adeccogroup.com/en/job/canada/proposal-writer/37746/100770554352,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Remote Full-Time Travel Writer - Brafton,,Brafton,https://jobs.lever.co/brafton/3f1c3025-2916-4dd6-8674-6a8b836c013f,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Freelance Copy Writer - Korean - Brafton,,Brafton,https://jobs.lever.co/brafton/128108b2-1dc5-4901-9524-e5462b21d724,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,"Senior Copywriter, Origins - DECIEM",,DECIEM,https://deciem-prod-atlanta.us.careers.hr/p/8e23471942254aed9455d6d39d455205-senior-copywriter-origins,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Proposal Writer - Promise Robotics,,Promise Robotics,https://jobs.lever.co/promiserobotics/93044c61-ff79-4f42-80c1-633e3d425f48,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Senior Direct Response Copywriter - Willow Health,,Willow Health,https://jobs.ashbyhq.com/willow-health/545ff9c3-19e1-4760-bb48-730d43c0b7ca,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Technical Digital Content Writer - Graphite,,Graphite,https://jobs.ashbyhq.com/Graphitehq/17316485-6af0-4158-b1f0-e11f6b5afeb4,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,"Senior Editor, Thought Leadership - ServiceNow",,ServiceNow,https://jobs.smartrecruiters.com/ServiceNow/744000140344034-senior-editor-thought-leadership,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Senior Medical Editor - Freelance - Princeton10,,Princeton10,https://jobs.lever.co/princeton10/d7528e55-1b48-4748-b0eb-777469497f00,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Senior Proposal Writer - CallTower,,CallTower,https://recruiting.paylocity.com/recruiting/jobs/Details/4255199/CallTower-Inc/Senior-Proposal-Writer,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Conceptual Copywriter - Superside,,Superside,https://jobs.lever.co/superside/6bd888e0-f3fb-4b1a-ab11-f236459caa00,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,"Sr. Copywriter, Canada - DoorDash",,DoorDash,https://careersatdoordash.com/jobs/sr-copywriter-canada/7842290/,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Contract Senior Content Designer - Fueled,,Fueled,https://job-boards.greenhouse.io/fueledcareers/jobs/5162182008,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_work,Senior Editor - People Managing People - Black & White Zebra,,Black & White Zebra,https://jobs.lever.co/Black-White-Zebra/7cc37a71-efc0-4599-9806-bdb41253504f,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_opportunities,Juniper Prize for Fiction,,University of Massachusetts Press,https://www.umasspress.com/juniper-prizes/juniper-prize-for-fiction/,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_opportunities,Juniper Prize for Poetry,,University of Massachusetts Press,https://www.umasspress.com/juniper-prizes/juniper-prize-for-poetry/,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_opportunities,Dzanc Short Story Collection Prize,,Dzanc Books,https://www.dzancbooks.org/contests,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_opportunities,The Ghost Story - Fall 2026 Supernatural Fiction Award,,The Ghost Story,https://theghoststory.com/tgs-news-announcements/,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_opportunities,Writing Club - “I Didn’t See That Coming”,,Writing Club,https://writingclub.world/i-didnt-see-that-coming,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_opportunities,Lighthouse Works Fellowship,,Lighthouse Works,https://lighthouseworks.us/fellowship,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,paid,paid_opportunities,Edith Wharton and Straw Dog Writers Guild Writing Residency,,The Mount / Straw Dog Writers Guild,https://edithwharton.org/edith-wharton-writing-residency/,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Afternoon Discoveries,free,featured,“The Best Day Ever”,Tess Kelly,Brevity,https://brevitymag.com/current-issue/the-best-day-ever/,short nonfiction,True,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,free,core,“I Was at Ground Zero - The Thing I Remember Most Is a Plate of Rigatoni”,Pat DePaul,Narratively,https://www.narratively.com/p/what-i-remember-ground-zero-rigatoni,memoir,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,free,core,“Going Up and Going In”,Brian Laidlaw,Longreads,https://longreads.com/2026/09/01/free-solo-climbing-risk-philosophy/,creative nonfiction,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,free,core,"Triangularity: Essays on Poetry, Science, and Spirit",Alice Major,University of Alberta Press,https://ualbertapress.ca/9781772128741/triangularity/,book,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,free,core,“Writing Through Loss: On Crafting Nonfiction That Tackles America’s Opioid Crisis”,Nadia Bowers and Stephanie Wittels Wachs,Literary Hub,https://lithub.com/writing-through-loss-on-crafting-nonfiction-that-tackles-americas-opioid-crisis/,conversation,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,“We Walk a Figure Eight”,Suzanne Farrell Smith,Brevity,https://brevitymag.com/current-issue/we-walk-a-figure-eight/,creative nonfiction,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,“Am I dead inside?”,Anastasia Nikolis,Brevity,https://brevitymag.com/current-issue/am-i-dead-inside/,creative nonfiction,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,“List of Lasts”,Marcia Aldrich,Brevity,https://brevitymag.com/current-issue/list-of-lasts/,creative nonfiction,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,“The ‘Great’ Opportunity That Left Me Penniless in NYC”,Jennifer Silva Redmond,Narratively,https://www.narratively.com/p/opportunity-that-left-me-penniless,memoir,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,“Eating Alone”,Gabe Bullard,Longreads,https://longreads.com/2026/09/15/convenience-friction-eating-alone/,narrative journalism,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,The Wind Carries Me / Le Vent me porte,Andrew Fuchs,Second Story Press,https://secondstorypress.ca/products/the-wind-carries-me-le-vent-me-porte,memoir,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,The Essential Janet Hardy,Janet W. Hardy,Unbound Edition Press,https://www.unboundedition.com/product/the-essential-janet-hardy-janet-w-hardy-essays/,essay collection,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,Our Secrets Are the Same,Jim Kerr and Charlie Burchill with Graeme Thomson,ECW Press,https://ecwpress.com/products/our-secrets-are-the-same,memoir,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,“A Dispatch from the Tour(ish)”,Elizabeth Jannuzzi,Substack,https://elizabethjannuzzi.substack.com/p/a-dispatch-from-the-tourish,newsletter essay,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,current,"Designing in the Dark: A Memoir of Vision, Resilience, and Redefining Canadian Design",George Sully,ECW Press,https://ecwpress.com/collections/non-fiction/products/designing-in-the-dark,memoir,False,False,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,special,“The Fourth State of Matter”,Jo Ann Beard,The New Yorker,https://www.newyorker.com/magazine/1996/06/24/the-fourth-state-of-matter,special recommendation,False,True,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,special,“The Really Big One”,Kathryn Schulz,The New Yorker,https://www.newyorker.com/magazine/2015/07/20/the-really-big-one,special recommendation,False,True,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-18,Afternoon Discoveries,paid,special,"“And There’s Your Mother, Calling Out to You: In Pursuit of Memory”",Beth Kephart,Brevity,https://brevitymag.com/craft-essays/in-pursuit-of-memory/,special recommendation,False,True,False,,2026-09-18,Seeded from the September 18 PDF downloaded from the published post.
2026-09-19,Afternoon Discoveries,free,featured,“A Sigilary for the Median Human in the Gearwrack”,Ken Liu,Uncanny Magazine,https://www.uncannymagazine.com/article/a-sigilary-for-the-median-human-in-the-gearwrack/,short fiction,True,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,free,current,“People Shoot People”,Brie Atienza,Strange Horizons,https://strangehorizons.com/wordpress/fiction/people-shoot-people/,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,free,current,“How to Cross a Covered Bridge”,Stewart C Baker,Flash Fiction Online,https://flashfictiononline.com/articles/how-to-cross-a-covered-bridge/,flash fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,free,current,“I who have never known trees”,Hannah Cocks,Nature Futures,https://www.nature.com/articles/d41586-026-02859-w,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,free,current,“Audit of the Collapse and Convalescence of Minds”,Renan Bernardo,Reactor,https://reactormag.com/audit-of-the-collapse-renan-bernardo/,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“The Dragonfly”,Luna Hou,Uncanny Magazine,https://www.uncannymagazine.com/article/the-dragonfly/,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“not to have killed a king”,E. L. Roseman,Strange Horizons,https://strangehorizons.com/wordpress/issue/7-september-2026/,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“The Chrysalis of Moth One”,V.M. Ayala,Lightspeed Magazine,https://www.lightspeedmagazine.com/fiction/the-chrysalis-of-moth-one/,flash fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“Alterverse”,Sanjana Raj,Lightspeed Magazine,https://www.lightspeedmagazine.com/fiction/alterverse/,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“A Guide on How to Repay Your Vow to the Deity of Many Faces”,Oyedotun Damilola Muees,Lightspeed Magazine,https://www.lightspeedmagazine.com/fiction/a-guide-on-how-to-repay-your-vow-to-the-deity-of-many-faces/,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“Useless Heart / Stopped Cold”,A. Artemis Chen,Nightmare Magazine,https://www.nightmare-magazine.com/fiction/useless-heart-stopped-cold/,flash fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“Occupants”,Steve Rasnic Tem,Reactor,https://reactormag.com/occupants-steve-rasnic-tem/,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“Ghostwalking”,Jonathon Burgess,Flash Fiction Online,https://flashfictiononline.com/articles/ghostwalking/,flash fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,“City of slop”,Erin Cullen,Nature Futures,https://www.nature.com/articles/d41586-026-02414-7,short fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,current,"“The Dragon, the Scarab, the Wolf, the Dragon”",Rhiannon Rasmussen,Lightspeed Magazine,https://www.lightspeedmagazine.com/fiction/the-dragon-the-scarab-the-wolf-the-dragon/,flash fiction,False,False,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,special,“STET”,Sarah Gailey,Fireside Fiction,https://firesidefiction.com/stet,special recommendation,False,True,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,special,“The Great Silence”,Ted Chiang and Allora & Calzadilla,e-flux,https://www.e-flux.com/journal/65/336684/the-great-silence,special recommendation,False,True,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
2026-09-19,Afternoon Discoveries,paid,special,"“The Tale of the Three Beautiful Raptor Sisters, and the Prince Who Was Made of Meat”",Brooke Bolander,Uncanny Magazine,https://www.uncannymagazine.com/article/the-tale-of-the-three-beautiful-raptor-sisters-and-the-prince-who-was-made-of-meat/,special recommendation,False,True,False,,2026-09-19,"Confirmed published in the September 19, 2026 Afternoon Discoveries edition."
